Portal Coordinates
(0, 1)         (1, 0)         (1, 11)        (2, 3)         (2, 12)        
(3, 2)         (3, 13)        (4, 14)        (5, 6)         (6, 16)        
(6, 5)         (6, 7)         (7, 8)         (7, 6)         (8, 18)        
(8, 7)         (9, 19)        (10, 20)       (11, 1)        (11, 12)       
(12, 2)        (12, 11)       (12, 22)       (13, 3)        (13, 23)       
(14, 24)       (14, 4)        (15, 16)       (15, 25)       (16, 17)       
(16, 6)        (16, 15)       (17, 16)       (17, 27)       (18, 8)        
(18, 19)       (19, 9)        (19, 18)       (19, 29)       (20, 10)       
(20, 21)       (20, 30)       (21, 20)       (22, 32)       (22, 12)       
(23, 13)       (24, 25)       (24, 34)       (24, 14)       (25, 24)       
(25, 15)       (26, 27)       (27, 17)       (27, 26)       (27, 37)       
(28, 38)       (29, 19)       (30, 40)       (30, 20)       (30, 31)       
(31, 32)       (31, 30)       (32, 33)       (32, 22)       (32, 31)       
(33, 32)       (33, 43)       (34, 24)       (35, 45)       (36, 37)       
(37, 27)       (37, 36)       (37, 38)       (37, 47)       (38, 28)       
(38, 37)       (38, 39)       (39, 38)       (40, 41)       (40, 30)       
(41, 40)       (41, 42)       (42, 41)       (43, 33)       (43, 44)       
(44, 43)       (44, 54)       (45, 35)       (45, 46)       (45, 55)       
(46, 45)       (46, 47)       (47, 48)       (47, 37)       (47, 46)       
(48, 47)       (49, 59)       (50, 51)       (50, 60)       (51, 50)       
(52, 53)       (52, 62)       (53, 52)       (53, 54)       (53, 63)       
(54, 64)       (54, 44)       (54, 53)       (54, 55)       (55, 56)       
(55, 65)       (55, 45)       (55, 54)       (56, 57)       (56, 66)       
(56, 55)       (57, 56)       (57, 58)       (58, 57)       (58, 59)       
(59, 49)       (59, 58)       (59, 69)       (60, 50)       (60, 70)       
(61, 62)       (62, 52)       (62, 61)       (63, 53)       (64, 54)       
(65, 75)       (65, 55)       (66, 56)       (67, 77)       (68, 78)       
(69, 59)       (69, 79)       (70, 80)       (70, 60)       (70, 71)       
(71, 72)       (71, 70)       (72, 73)       (72, 71)       (73, 72)       
(73, 74)       (73, 83)       (74, 73)       (74, 75)       (75, 65)       
(75, 74)       (75, 85)       (76, 77)       (77, 67)       (77, 76)       
(77, 78)       (78, 88)       (78, 68)       (78, 77)       (79, 69)       
(80, 81)       (80, 70)       (81, 80)       (81, 82)       (81, 91)       
(82, 81)       (82, 92)       (83, 73)       (83, 84)       (84, 83)       
(85, 75)       (85, 86)       (85, 95)       (86, 96)       (86, 85)       
(86, 87)       (87, 88)       (87, 97)       (87, 86)       (88, 89)       
(88, 78)       (88, 87)       (89, 88)       (89, 99)       (90, 91)       
(91, 81)       (91, 90)       (92, 82)       (92, 93)       (93, 92)       
(93, 94)       (94, 93)       (95, 85)       (96, 86)       (97, 98)       
(97, 87)       (98, 97)       (99, 89)       
